date;is_throttled;freq;temp;volt
Thu 26 Jan 20:11:45 CET 2023;throttled=0xe0008;1580Mhz;temp=83.7'C;volt=0.8984V
Thu 26 Jan 20:11:47 CET 2023;throttled=0xe0008;1580Mhz;temp=83.7'C;volt=0.8984V
Thu 26 Jan 20:11:50 CET 2023;throttled=0xe0008;1677Mhz;temp=82.7'C;volt=0.8768V
Thu 26 Jan 20:11:52 CET 2023;throttled=0xe0008;1629Mhz;temp=83.2'C;volt=0.8984V
Thu 26 Jan 20:11:54 CET 2023;throttled=0xe0008;1629Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:11:56 CET 2023;throttled=0xe0008;1726Mhz;temp=83.2'C;volt=0.8768V
Thu 26 Jan 20:11:58 CET 2023;throttled=0xe0006;600Mhz;temp=82.3'C;volt=0.9197V
Thu 26 Jan 20:12:01 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:12:03 CET 2023;throttled=0xe0008;1629Mhz;temp=83.7'C;volt=0.9089V
Thu 26 Jan 20:12:05 CET 2023;throttled=0xe0008;1531Mhz;temp=84.7'C;volt=0.8984V
Thu 26 Jan 20:12:07 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.8984V
Thu 26 Jan 20:12:10 CET 2023;throttled=0xe0008;1580Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:12:12 CET 2023;throttled=0xe0008;1629Mhz;temp=82.7'C;volt=0.8768V
Thu 26 Jan 20:12:14 CET 2023;throttled=0xe0008;1677Mhz;temp=83.7'C;volt=0.8984V
Thu 26 Jan 20:12:16 CET 2023;throttled=0xe0008;1629Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:12:18 CET 2023;throttled=0xe0008;1580Mhz;temp=85.2'C;volt=0.8984V
Thu 26 Jan 20:12:20 CET 2023;throttled=0xe0008;1531Mhz;temp=84.2'C;volt=0.9089V
Thu 26 Jan 20:12:23 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.9089V
Thu 26 Jan 20:12:25 CET 2023;throttled=0xe0008;1580Mhz;temp=83.7'C;volt=0.8984V
Thu 26 Jan 20:12:27 CET 2023;throttled=0xe0006;1677Mhz;temp=82.7'C;volt=0.9089V
Thu 26 Jan 20:12:29 CET 2023;throttled=0xe0008;1531Mhz;temp=84.2'C;volt=0.9089V
Thu 26 Jan 20:12:32 CET 2023;throttled=0xe0008;1531Mhz;temp=82.7'C;volt=0.8984V
Thu 26 Jan 20:12:34 CET 2023;throttled=0xe0008;1629Mhz;temp=84.7'C;volt=0.8876V
Thu 26 Jan 20:12:36 CET 2023;throttled=0xe0008;1629Mhz;temp=83.2'C;volt=0.8876V
Thu 26 Jan 20:12:38 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:12:40 CET 2023;throttled=0xe0008;1531Mhz;temp=83.7'C;volt=0.8768V
